venue,years,url
Africa Spectrum,2022,https://journals.sagepub.com/home/afr
African Affairs,2018,https://academic.oup.com/afraf/
American Journal of Political Science,2019; 2020,https://ajps.org
American Economic Journal: Applied Economics,2026,https://www.aeaweb.org/journals/app
American Political Science Review,2013; 2014; 2017; 2020; 2023; 2024,http://journals.cambridge.org/action/displayJournal?jid=PSR
British Journal of Political Science,2017; 2025,https://www.cambridge.org/core/journals/british-journal-of-political-science
Business and Politics,2016,http://www.degruyter.com/view/j/bap
Comparative Political Studies,2013; 2019 x2; 2021; 2022; 2023,http://cps.sagepub.com
Conflict Management and Peace Science,2019,https://journals.sagepub.com/home/cmp
Development Policy Review,2018,https://onlinelibrary.wiley.com/journal/14677679
Economic Development and Cultural Change,2020,https://www.journals.uchicago.edu/toc/edcc/current
Economics & Politics,2022,https://onlinelibrary.wiley.com/journal/14680343
European Journal of International Relations,2019,https://journals.sagepub.com/home/ejt
Foreign Policy Analysis,2020; 2021,https://academic.oup.com/fpa
Forum for Development Studies,2019,https://www.tandfonline.com/toc/sfds20/current
Governance,2016; 2020,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0491
International Interactions,2018; 2022; 2024,https://www.tandfonline.com/toc/gini20/current
International Organization,2019; 2022; 2023; 2025 x2,http://iojournal.org
International Political Science Review,2023,https://journals.sagepub.com/home/ips
International Relations,2020,https://journals.sagepub.com/home/ire
International Studies Quarterly,2018; 2019; 2020; 2021,http://isq.oxfordjournals.org/
Journal of Comparative Economics,2018,https://www.journals.elsevier.com/journal-of-comparative-economics/
Journal of Conflict Resolution,2019; 2020; 2023,https://journals.sagepub.com/home/jcr
Journal of Development Economics,2025,https://www.sciencedirect.com/journal/journal-of-development-economics
Journal of Eastern African Studies,2020,https://www.tandfonline.com/toc/rjea20/current
Journal of Experimental Political Science,2025,https://www.cambridge.org/core/journals/journal-of-experimental-political-science
Journal of International Development,2021,https://onlinelibrary.wiley.com/journal/10991328
Journal of International Relations and Development,2020,https://www.palgrave.com/gp/journal/41268
Journal of Politics,2016; 2017; 2018; 2019; 2020; 2022; 2023; 2025,http://www.thejournalofpolitics.org
Journal of Population Economics,2019,https://www.springer.com/journal/148
Journal of Public Economics,2021,https://www.sciencedirect.com/science/journal/00472727
National Science Foundation,2016,https://www.nsf.gov
Nature Sustainability,2018,https://www.nature.com/natsustain/
New Political Economy,2020,https://www.tandfonline.com/toc/cnpe20/current
Oxford Economic Papers,2022,https://academic.oup.com/oep/
Political Analysis,2018,https://pan.oxfordjournals.org/
Political Geography,2021,https://www.journals.elsevier.com/political-geography
Political Research Quarterly,2018,http://journals.sagepub.com/home/prq
Population and Development Review,2019,https://onlinelibrary.wiley.com/journal/17284457
Quarterly Journal of Economics,2025,https://academic.oup.com/qje
Research & Politics,2017; 2023,http://journals.sagepub.com/home/rap/
Scientific African,2018; 2021,https://www.journals.elsevier.com/scientific-african/
Social Science & Humanities Research Council,2020,http://sshrc-crsh.gc.ca/
The Canadian Review of Sociology,2014,https://www.csa-scs.ca/files/webapps/csapress/canadian-review/
The Journal of Development Studies,2019; 2021; 2025,https://www.tandfonline.com/toc/fjds20/current
The Journal of Modern African Studies,2015; 2021,http://journals.cambridge.org/action/displayJournal?jid=MOA
The Review of International Organizations,2018; 2020; 2021; 2023; 2025,https://www.springer.com/social+sciences/journal/11558?detailsPage=pltci_1060118
Third World Quarterly,2019,https://www.tandfonline.com/toc/ctwq20/current
World Development,2016 x2; 2019; 2020; 2021; 2024; 2025,http://www.journals.elsevier.com/world-development/
World Politics,2015,http://muse.jhu.edu/journals/world_politics/
